half,minutes,seconds,play_type,team,first_name,last_name,davidson_score,opponent_score
2,3,16,GOOD LAYUP,Charlotte,PATTERSON,LU'CYE,71,67
2,3,16,FOUL,Davidson,BRIZZI,ANGELO,71,67
2,3,16,SUB OUT,Davidson,BRIZZI,ANGELO,71,67
2,3,16,SUB IN,Davidson,DURKIN,BOBBY,71,67
2,3,16,GOOD FT,Charlotte,PATTERSON,LU'CYE,71,68
2,2,50,GOOD LAYUP,Davidson,SKOGMAN,DAVID,73,68
2,2,24,FOUL,Davidson,ADAM,HUNTER,73,68
2,2,24,GOOD FT,Charlotte,PATTERSON,LU'CYE,73,69
2,2,24,SUB OUT,Charlotte,REIBER,DEAN,73,69
2,2,24,SUB IN,Charlotte,JACKSON,DISHON,73,69
2,2,24,GOOD FT,Charlotte,PATTERSON,LU'CYE,73,70
2,2,12,Timeout,Davidson,,,73,70
2,2,3,FOUL,Charlotte,MILICIC JR.,IGOR,73,70
2,2,3,GOOD FT,Davidson,SKOGMAN,DAVID,74,70
2,2,1,MISS FT,Davidson,SKOGMAN,DAVID,74,70
2,2,1,REBOUND DEF,Charlotte,PATTERSON,LU'CYE,74,70
2,1,46,MISS LAYUP,Charlotte,THREADGILL,JACKSON,74,70
2,1,43,REBOUND DEF,Davidson,SKOGMAN,DAVID,74,70
2,1,26,GOOD LAYUP,Davidson,KOCHERA,CONNOR,76,70
2,1,26,ASSIST,Davidson,SKOGMAN,DAVID,76,70
2,1,18,Timeout,Charlotte,,,76,70
2,1,8,MISS 3PTR,Charlotte,THREADGILL,JACKSON,76,70
2,1,4,REBOUND DEF,Davidson,HUFFMAN,GRANT,76,70
2,1,4,FOUL,Charlotte,PATTERSON,LU'CYE,76,70
2,1,4,GOOD FT,Davidson,HUFFMAN,GRANT,77,70
2,1,4,TURNOVER,Davidson,ADAM,HUNTER,77,70
2,0,59,GOOD 3PTR,Charlotte,MILICIC JR.,IGOR,77,73
2,0,59,ASSIST,Charlotte,GRAVES,NIK,77,73
2,0,56,Timeout,Charlotte,,,77,73
2,0,56,SUB OUT,Charlotte,JACKSON,DISHON,77,73
2,0,56,SUB IN,Charlotte,REIBER,DEAN,77,73
2,0,56,SUB OUT,Davidson,ADAM,HUNTER,77,73
2,0,56,SUB IN,Davidson,BRIZZI,ANGELO,77,73
2,0,55,FOUL,Charlotte,THREADGILL,JACKSON,77,73
2,0,55,GOOD FT,Davidson,DURKIN,BOBBY,78,73
2,0,55,GOOD FT,Davidson,DURKIN,BOBBY,79,73
2,0,55,SUB OUT,Davidson,BRIZZI,ANGELO,79,73
2,0,55,SUB IN,Davidson,ADAM,HUNTER,79,73
2,0,48,FOUL,Davidson,ADAM,HUNTER,79,73
2,0,48,GOOD FT,Charlotte,GRAVES,NIK,79,74
2,0,48,SUB OUT,Davidson,ADAM,HUNTER,79,74
2,0,48,SUB IN,Davidson,BRIZZI,ANGELO,79,74
2,0,48,GOOD FT,Charlotte,GRAVES,NIK,79,75
2,0,46,FOUL,Charlotte,GRAVES,NIK,79,75
2,0,46,GOOD FT,Davidson,SKOGMAN,DAVID,80,75
2,0,46,GOOD FT,Davidson,SKOGMAN,DAVID,81,75
2,0,46,SUB OUT,Davidson,BRIZZI,ANGELO,81,75
2,0,46,SUB IN,Davidson,ADAM,HUNTER,81,75
2,0,43,FOUL,Davidson,KOCHERA,CONNOR,81,75
2,0,40,GOOD 3PTR,Charlotte,PATTERSON,LU'CYE,81,78
2,0,40,ASSIST,Charlotte,GRAVES,NIK,81,78
2,0,37,TURNOVER,Davidson,ADAM,HUNTER,81,78
2,0,37,STEAL,Charlotte,REIBER,DEAN,81,78
2,0,33,MISS 3PTR,Charlotte,PATTERSON,LU'CYE,81,78
2,0,31,REBOUND DEF,Davidson,SKOGMAN,DAVID,81,78
